run,triage_mean,triage_std,bed_mean,bed_std,lab_mean,lab_std,total_mean,total_std
run_seed111_beds3_labs1,41.96099859125386,30.830269567356087,190.82253850491762,140.40771296654077,13.117327909259023,20.649135804815142,317.5018259865965,167.22321571982403
run_seed100_beds5_labs1,95.18342350043883,62.61780884959668,142.32415986399306,107.53721677885855,11.838672695902472,25.374012859970666,354.3389535655251,185.5056196105983
run_seed160_beds1_labs1,22.110116568388214,11.673056063712801,242.88961968714887,183.70085618341122,18.365643275024933,35.1346198946195,350.41402974848893,205.91885104657342
run_seed113_beds10_labs1,156.3772912512542,119.45419184290077,12.234944889985057,21.10167438195751,9.567915322247554,20.67148189843368,319.7967352593177,163.01529930626674
run_seed124_beds5_labs1,126.15954816682834,73.817565177829,90.41445549916683,66.60598434282139,14.538113208467031,29.489240457980575,332.17610133765174,176.8692377290655
run_seed123_beds5_labs5,79.80108994111778,52.10896014005402,225.7885707708689,146.2218211247908,11.339616352971525,22.277616088212376,375.54633812187507,193.74220994581222
run_seed124_beds5_labs5,138.8544908172026,75.67190536743935,122.0948702341854,104.63559624210122,16.99835600242577,26.322679726920974,345.4349572426964,174.84040354495264
run_seed123_beds5_labs1,110.5947244650775,67.34584818872382,177.27224256654216,121.9565796679932,9.599835528525501,16.289890415916563,363.2529965361573,178.1720411167142
run_seed140_beds8_labs3,196.46981310672638,114.51433532650358,33.708179925669036,26.9961654089619,10.290597525669272,18.533938065898926,288.7321099113579,141.67803252941374
run_seed111_beds8_labs1,132.5682134440494,90.660805789343,91.64262228319772,89.10604406660507,9.927714610139596,19.470586952562428,339.2822506922273,190.60081527695357
run_seed140_beds5_labs1,112.96958473049027,79.36028124512805,153.6603374035928,121.07199703922907,13.098965878253528,28.523504776376544,375.2219496685509,193.20784565522905
run_seed110_beds2_labs1,44.3803652123303,24.49586165391667,311.93493679075846,202.20066480995504,9.55386121159336,16.87880680052499,439.87203676289073,196.05372376311223
run_seed123_beds5_labs2,73.69337325981449,48.24764994587441,215.0272230028727,143.88975231725476,11.047275740146182,21.540371912201778,367.210417679415,193.3502414069443
run_seed164_beds5_labs2,72.25421054604648,30.69447529256742,99.2673821990401,91.2118574959655,12.976559165356553,19.89935211322284,239.6277639269764,126.85994767791836
run_seed111_beds5_labs1,60.4035629711254,48.324136241879714,146.84669781620096,119.69960004703343,13.251902542763341,25.488234745717786,329.10079988590803,168.54634009186773
run_seed141_beds8_labs3,153.2773276085785,103.0238125309552,50.25397721388679,37.68428999763799,15.63247401970203,25.908106355840296,284.410828912764,149.92047805968159
run_seed122_beds5_labs1,80.23161161219272,50.92823660213116,163.32786972172795,123.20226525746766,8.386533839759073,13.841326386048346,326.24137080033137,173.51352863160824
run_seed141_beds5_labs1,109.56560014944137,87.10660587428093,116.42151686256615,67.12007764312216,13.939973692225694,22.433095732039547,337.0078457584782,177.41250666706898
run_seed110_beds8_labs1,149.79767517259202,96.32202638820647,28.73014709839937,39.09668890668846,10.403781798082754,20.663730469367017,313.16514962714626,156.3291948669524
run_seed134_beds5_labs1,114.8455304518972,69.61294863074757,150.87198201644262,109.60869345240201,15.901597400783496,37.38665205792535,403.57064730135056,167.95124322020624
run_seed122_beds5_labs2,102.24013998785857,67.25092448013929,173.26505509474805,104.20487429049727,12.176449601818032,18.8124241469762,357.3841158700749,159.48230898678997
run_seed111_beds2_labs1,53.11072531244309,37.507111972167216,218.761693952085,172.20581624312516,14.8564022467848,22.25896582842358,345.13929455718875,203.17203486864796
run_seed112_beds10_labs1,175.8539109981758,121.44669138784799,8.937848419677827,14.807946066617442,7.842585129085468,17.927471629423295,294.8594021760001,163.4366198144133
run_seed110_beds5_labs1,102.45699742722984,72.56215587492046,150.81513677014402,134.23139021626406,13.175173510203406,34.801161497775716,376.7336829634682,204.977546506444
run_seed141_beds3_labs1,81.4693927906952,51.43589665677546,171.17128936833416,147.5476800463858,6.932090428809474,12.498576708165224,319.2520420081508,199.3656057731158
run_seed133_beds5_labs1,94.69674162906992,56.67491017435157,184.74986837230452,111.96759290138127,11.375898565196048,25.150698506264767,385.72142590171774,177.98168796209532
run_seed162_beds5_labs2,57.15966219950606,19.800264435771794,110.75134266256212,110.01505489831045,19.819660087099788,31.293273413432587,272.85808479328784,145.6943566753526
run_seed161_beds1_labs1,15.46230708710852,14.434739544164207,291.2344786471257,229.3532993417914,13.618947122740344,26.112802548620422,404.3838435493073,253.36065005396486
run_seed101_beds5_labs1,93.78960598569326,65.43471266862119,113.37339663936358,86.30754925652532,14.563770253464785,28.192116066736933,359.7913940621399,202.40188017828447
run_seed110_beds3_labs1,53.417904575069855,32.736382319935345,222.8943147859958,152.28445725005662,14.984261881270799,39.54982654703617,357.82914241301927,177.47263404985597
run_seed122_beds5_labs5,95.77478867698984,65.16909948522715,181.34727512048966,109.74318738620502,17.69801766205985,26.22835900893111,361.3128408915455,168.22477699691612
